Thành phố Hồ Chí Minh,10.83333,106.63278
Hà Nội,21.03333,105.85000
Hải Phòng,20.86194,106.68028
Cần Thơ,10.03278,105.78389
Đà Nẵng,16.05194,108.21528
Biên Hòa,10.95694,106.84306
Thanh Hoa,19.80750,105.77639
Nha Trang,12.23889,109.19694
Vũng Tàu,10.34583,107.08472
Thủ Đức,10.88333,106.72694
Huế,16.46278,107.58472
Buôn Ma Thuột,12.66667,108.03889
Thái Nguyên,21.56750,105.82556
Vinh,18.68083,105.68167
Hải Dương,20.93972,106.31250
Thủ Dầu Một,10.99333,106.65611
Nam Định,20.42000,106.16833
Rạch Giá,10.02083,105.09028
Hạ Long,20.97194,107.04528
Mỹ Tho,10.35417,106.36528
Quy Nhơn,13.77500,109.23333
Thái Bình,20.44750,106.33750
Đà Lạt,11.94556,108.44222
Phan Thiết,10.92222,108.10944
Cà Mau,9.18361,105.15000
Long Thành,10.79306,107.01361
Tuy Hòa,13.08222,109.31611
Cẩm Phả,21.01611,107.33194
Pleiku,13.98361,1080.00000
Sóc Trăng,9.60389,105.97417
Phù Mỹ,14.21639,109.11694
Long Xuyên,10.37528,105.41833
Tây Ninh,11.36778,106.11917
Bảo Lộc,11.53056,107.77806
Bắc Ninh,21.18528,106.05639
Bạc Liêu,9.25889,105.75194
Chí Linh,21.16194,106.41806
Lạng Sơn,21.85417,106.76167
Vĩnh Long,10.24583,105.95833
Trà Vinh,9.95139,106.33472
Bến Lức,10.63194,106.49306
Bắc Giang,21.29139,106.18694
Tân An,10.53111,106.41250
Hưng Yên,20.63667,106.05694
Cam Ranh,11.91361,109.13694
Đồng Hới,17.46861,106.59944
Phú Quốc,10.29611,103.98667
Ninh Bình,20.25111,105.97500
Bình Minh,10.02917,105.85250
Lào Cai,22.44028,104.00278
Phan Rang – Tháp Chàm,11.56667,108.99167
Hoài Ân,14.30444,108.85528
Yen Bai,21.71667,104.89861
Vĩnh Yên,21.29889,105.60611
Móng Cái,21.53333,107.96667
Sa Đéc,10.30000,105.76667
Tam Kỳ,15.56528,108.49444
Kon Tum,14.35000,107.99861
Cao Bằng,22.66694,106.26028
Điện Biên Phủ,21.36667,103.00861
Tuyên Quang,21.81861,105.21167
Quảng Ngãi,15.12389,108.81167
Hội An,15.88056,108.33889
Hà Tĩnh,18.34083,105.90750
Sơn La,21.32722,103.91417
Đảo Côn Lôn,8.69306,106.60944
Thang Binh District,15.68944,108.38000
Quảng Trị,16.74694,107.19389
Gia Lâm,21.03333,105.95889
Cam Lâm,12.07556,109.14028
